COMNAME,TAXON,Density per 100 ha
Northern Cardinal,Cardinalis cardinalis,31
Northern Cardinal,Cardinalis cardinalis,38
Northern Cardinal,Cardinalis cardinalis,106.06
Northern Cardinal,Cardinalis cardinalis,68.49
Northern Cardinal,Cardinalis cardinalis,61.64
Northern Cardinal,Cardinalis cardinalis,20
Northern Cardinal,Cardinalis cardinalis,60.61
Northern Cardinal,Cardinalis cardinalis,14
Northern Cardinal,Cardinalis cardinalis,45.45
Northern Cardinal,Cardinalis cardinalis,41.1
Northern Cardinal,Cardinalis cardinalis,33
Northern Cardinal,Cardinalis cardinalis,83.33
Northern Cardinal,Cardinalis cardinalis,28.57
Northern Cardinal,Cardinalis cardinalis,90.91
Northern Cardinal,Cardinalis cardinalis,83.33
Northern Cardinal,Cardinalis cardinalis,28.57
Northern Cardinal,Cardinalis cardinalis,12.5
Northern Cardinal,Cardinalis cardinalis,28.57
Northern Cardinal,Cardinalis cardinalis,30
Northern Cardinal,Cardinalis cardinalis,18.18
Northern Cardinal,Cardinalis cardinalis,22.73
Northern Cardinal,Cardinalis cardinalis,21.43
Northern Cardinal,Cardinalis cardinalis,37.5
Northern Cardinal,Cardinalis cardinalis,142.86
Northern Cardinal,Cardinalis cardinalis,8.2
Northern Cardinal,Cardinalis cardinalis,2.7
Northern Cardinal,Cardinalis cardinalis,15.38
Northern Cardinal,Cardinalis cardinalis,43.48
Northern Cardinal,Cardinalis cardinalis,43.48
Northern Cardinal,Cardinalis cardinalis,95.24
Northern Cardinal,Cardinalis cardinalis,43.48
Northern Cardinal,Cardinalis cardinalis,52.63
Northern Cardinal,Cardinalis cardinalis,25
Northern Cardinal,Cardinalis cardinalis,76.92
Northern Cardinal,Cardinalis cardinalis,41.67
Northern Cardinal,Cardinalis cardinalis,11.36
Northern Cardinal,Cardinalis cardinalis,8.33
Northern Cardinal,Cardinalis cardinalis,9.52
Northern Cardinal,Cardinalis cardinalis,45.45
Northern Cardinal,Cardinalis cardinalis,41.67
Northern Cardinal,Cardinalis cardinalis,55.56
Northern Cardinal,Cardinalis cardinalis,0.1
Northern Cardinal,Cardinalis cardinalis,2
Northern Cardinal,Cardinalis cardinalis,6.4
Northern Cardinal,Cardinalis cardinalis,5.9
Northern Cardinal,Cardinalis cardinalis,5.9
Northern Cardinal,Cardinalis cardinalis,9.9
Northern Cardinal,Cardinalis cardinalis,10
Northern Cardinal,Cardinalis cardinalis,2.9
Northern Cardinal,Cardinalis cardinalis,41.7
Northern Cardinal,Cardinalis cardinalis,10
Northern Cardinal,Cardinalis cardinalis,7
Northern Cardinal,Cardinalis cardinalis,9
Northern Cardinal,Cardinalis cardinalis,4.1
Northern Cardinal,Cardinalis cardinalis,0.1
Northern Cardinal,Cardinalis cardinalis,24
Northern Cardinal,Cardinalis cardinalis,20.6
Northern Cardinal,Cardinalis cardinalis,5
Northern Cardinal,Cardinalis cardinalis,10
Northern Cardinal,Cardinalis cardinalis,40
Northern Cardinal,Cardinalis cardinalis,6.8
Northern Cardinal,Cardinalis cardinalis,15
Northern Cardinal,Cardinalis cardinalis,25
Northern Cardinal,Cardinalis cardinalis,30
Northern Cardinal,Cardinalis cardinalis,36
Northern Cardinal,Cardinalis cardinalis,25
Northern Cardinal,Cardinalis cardinalis,11
Northern Cardinal,Cardinalis cardinalis,12
Northern Cardinal,Cardinalis cardinalis,54
Northern Cardinal,Cardinalis cardinalis,13
Northern Cardinal,Cardinalis cardinalis,7
Northern Cardinal,Cardinalis cardinalis,10
Northern Cardinal,Cardinalis cardinalis,2
Northern Cardinal,Cardinalis cardinalis,4.5
Northern Cardinal,Cardinalis cardinalis,7.5
Northern Cardinal,Cardinalis cardinalis,30
Northern Cardinal,Cardinalis cardinalis,16.5
Northern Cardinal,Cardinalis cardinalis,39
Northern Cardinal,Cardinalis cardinalis,17
Northern Cardinal,Cardinalis cardinalis,22
Northern Cardinal,Cardinalis cardinalis,7
Northern Cardinal,Cardinalis cardinalis,12
Northern Cardinal,Cardinalis cardinalis,25
Northern Cardinal,Cardinalis cardinalis,5
Northern Cardinal,Cardinalis cardinalis,30
Northern Cardinal,Cardinalis cardinalis,33
Northern Cardinal,Cardinalis cardinalis,24.7
Northern Cardinal,Cardinalis cardinalis,34
Northern Cardinal,Cardinalis cardinalis,20
Northern Cardinal,Cardinalis cardinalis,14.8
Northern Cardinal,Cardinalis cardinalis,0.1
Northern Cardinal,Cardinalis cardinalis,20
Northern Cardinal,Cardinalis cardinalis,7.1
Northern Cardinal,Cardinalis cardinalis,25
Northern Cardinal,Cardinalis cardinalis,30
Northern Cardinal,Cardinalis cardinalis,29
Northern Cardinal,Cardinalis cardinalis,4.8
Northern Cardinal,Cardinalis cardinalis,40
Northern Cardinal,Cardinalis cardinalis,27
Northern Cardinal,Cardinalis cardinalis,25
Northern Cardinal,Cardinalis cardinalis,37
Northern Cardinal,Cardinalis cardinalis,14.7
Northern Cardinal,Cardinalis cardinalis,21
Northern Cardinal,Cardinalis cardinalis,30
Northern Cardinal,Cardinalis cardinalis,7
